"","c.Inf..33.8716306708252..33.7665809148426..33.6841572569265.."
"292",25.9333175558409
"293",25.9289956401846
"294",25.9281449843918
"295",25.8932782466976
"296",25.8884827017035
"297",25.8816351958765
"298",25.8638999077031
"299",25.8539694320851
"300",25.8530221174309
"301",25.8528141960176
"302",25.8380132023109
"303",25.8312843072576
"304",25.8289168429791
"305",25.800684721109
"306",25.7995140404254
"307",25.7876627649784
"308",25.7413388682506
"309",25.7389430442533
"310",25.7352937756307
"311",25.7317126486339
"312",25.7173252853171
"313",25.7153418793414
"314",25.7003208871567
"315",25.6917896888368
"316",25.6791501464344
"317",25.6742459370918
"318",25.6605094947321
"319",25.6581279106775
"320",25.6395928043333
"321",25.6237817841862
"322",25.6143679759145
"323",25.5727171111445
"324",25.5645590453208
"325",25.5534034479415
"326",25.538500452621
"327",25.5314306301072
"328",25.5282469633826
"329",25.5277086796352
"330",25.5026224251798
"331",25.4986500649571
"332",25.4967169725791
"333",25.4885573652384
"334",25.4446841513501
"335",25.4196094055076
"336",25.4056688028996
"337",25.3967479620391
"338",25.3910379571879
"339",25.386817647032
"340",25.3696845994891
"341",25.357700425531
"342",25.3214444894708
"343",25.2952097099652
"344",25.2936657426237
"345",25.2925705566089
"346",25.2918558113172
"347",25.2696804640104
"348",25.2695133470618
"349",25.24132381695
"350",25.2278922133223
"351",25.1957179392353
"352",25.1918689678663
"353",25.1679544505621
"354",25.1531107940373
"355",25.151300756569
"356",25.1356217642381
"357",25.1255382076651
"358",25.1249884178294
"359",25.117770549332
"360",25.1169846293331
"361",25.1157592347772
"362",25.1129717859208
"363",25.1022669875619
"364",25.0895310834909
"365",25.0734470125125
"366",25.0618039616276
"367",25.0563308632523
"368",25.0482709011409
"369",25.0423162905958
"370",25.0358114014734
"371",25.0215757769346
"372",25.0186140417415
"373",25.0081132681011
"374",24.9866021684474
"375",24.9855364926913
"376",24.9842636000163
"377",24.9714456720899
"378",24.9609102106633
"379",24.9444622216515
"380",24.9280958486601
"381",24.9263678826437
"382",24.9197638984196
"383",24.9151106963975
"384",24.899204327347
"385",24.8917620880705
"386",24.8807037699673
"387",24.8713275387044
"388",24.8554601997872
"389",24.8383314282735
"390",24.8205867461404
"391",24.8168654927083
"392",24.8136118075566
"393",24.8106631677101
"394",24.7847617407935
"395",24.7827001051804
"396",24.7797274351672
"397",24.7740861804338
"398",24.7597689770309
"399",24.7570003634187
"400",24.7539138912712
"401",24.7450728693053
"402",24.739069811249
"403",24.7367617941531
"404",24.7271602195498
"405",24.7205839522457
"406",24.7167629034125
"407",24.6895183158652
"408",24.6788872411152
"409",24.6782786642193
"410",24.6712894996574
"411",24.6657987326985
"412",24.6631509059827
"413",24.646257377325
"414",24.6028494334169
"415",24.5832712003419
"416",24.5735334242183
"417",24.5718056995205
"418",24.5590412992316
"419",24.5587821488967
"420",24.5551811417355
"421",24.5465758950217
"422",24.5337382644967
"423",24.5254979977978
"424",24.5112265976778
"425",24.5065374285395
"426",24.4897370009452
"427",24.488967166896
"428",24.4875502145297
"429",24.4749717435127
"430",24.473640337399
"431",24.473569665311
"432",24.4729969706317
"433",24.4665432787299
"434",24.4468318816827
"435",24.4397640902017
"436",24.4383140274384
"437",24.4037795797797
"438",24.3854994840348
"439",24.3805495597919
"440",24.3763923066615
"441",24.3755450663319
"442",24.3750839228039
"443",24.3730569209747
"444",24.3622926296371
"445",24.3586499543814
"446",24.3529498634449
"447",24.3469667920892
"448",24.343665018592
"449",24.3379726646142
"450",24.3334525992202
"451",24.3151163639065
"452",24.3074367048413
"453",24.2901242626147
"454",24.2797519955019
"455",24.2743435864925
"456",24.2739255338076
"457",24.270988474378
"458",24.2679125583129
"459",24.2668719679431
"460",24.2613316415593
"461",24.2608443055919
"462",24.256471788705
"463",24.2433643097864
"464",24.2371757292838
"465",24.2362125325852
"466",24.2339889456605
"467",24.2326537850807
"468",24.2243127588717
"469",24.2237589134202
"470",24.222616244616
"471",24.2194510751186
"472",24.2047506164521
"473",24.2003250187077
"474",24.1937967453506
"475",24.1895167338719
"476",24.1635396895809
"477",24.1584558045943
"478",24.1562663086473
"479",24.1547869652175
"480",24.1506163022767
"481",24.1425111276833
"482",24.1383781813054
"483",24.1154748214653
"484",24.1122749007058
"485",24.1049887121536
"486",24.0917826247571
"487",24.0878282660288
"488",24.0871334538429
"489",24.0735040697398
"490",24.0701053502175
"491",24.0636626391387
"492",24.0591403714604
"493",24.0567657324318
"494",24.055193607608
"495",24.0501289513488
"496",24.0465312781171
"497",24.0440519432593
"498",24.042945721485
"499",24.0422348745186
"500",24.0408937227963
"501",24.0407858472884
